#[1] vessel name;[2] first node;[3] second node;[4] length [cm];[5] inlet radius [cm];[6] outlet radius [cm];[7] vessel type (1 artery, 0 vein);[8] vessel region;[9] perforator (1 yes, -1 no);[10] total resistance;[11] total compliance;[12] vascular territory;[13] first connection;[14] second connection;;[15] input vessels;[16] output vessels
A_inferior_alveolar_R_89;28;30;0.432890079605;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_88'];['P_inferior_alveolar_dental_branch_8_ORG08_T32_R_16', 'A_inferior_alveolar_R_90']
A_inferior_alveolar_R_90;30;117;0.353356771502;0.065665;0.065665;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_R_89'];[]
T_mylohyoid_branch_UAR03_T9_R_91;115;118;7.62258207425;0.051962;0.051962;1;9;-1;3101589.50491984;2.3260361e-08;40;11;-;;['A_inferior_alveolar_R_80'];[]
T_anterior_tympanic_ORG04_T1_R_92;102;119;1.27339922876;0.036638;0.036638;1;9;-1;20182645522.4491;3.575e-12;42;15;-;;['A_maxillary_R_67'];[]
A_infra_orbital_R_93;93;120;0.383246887961;0.048096;0.048096;1;9;-1;-;-;-;-;-;;['A_facial_R_58'];['A_infra_orbital_R_94', 'T_perforator_UAR05_T1_R_189']
A_infra_orbital_R_94;120;121;1.45885109275;0.048096;0.048096;1;9;-1;-;-;-;-;-;;['A_infra_orbital_R_93'];['A_infra_orbital_R_95', 'A_anterior_superior_alveolar_R_116']
A_infra_orbital_R_95;121;122;0.603900015176;0.048096;0.048096;1;9;-1;-;-;-;-;-;;['A_infra_orbital_R_94'];['A_infra_orbital_R_96', 'A_middle_superior_alveolar_R_115']
A_infra_orbital_R_96;122;111;2.26560968033;0.048096;0.048096;1;9;-1;-;-;-;-;-;;['A_infra_orbital_R_95'];['A_sphenopalatine_R_123']
A_artery_of_pterygoid_canal_R_97;123;124;4.1754242049;0.018012;0.018012;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_R_124'];['A_internal_carotid_R_2531']
A_transverse_facial_artery_R_98;94;2;7.25133537742;0.029116;0.029116;1;9;1;-;-;-;-;-;;['A_facial_R_59'];['T_perforator_UAR04_T1_R_1', 'A_transverse_facial_artery_R_99']
A_transverse_facial_artery_R_99;2;125;3.40307789372;0.029116;0.029116;1;9;-1;-;-;-;-;-;;['A_transverse_facial_artery_R_98'];['A_superficial_temporal_R_216']
A_buccal_R_100;108;91;4.85376243388;0.040434;0.040434;1;9;-1;-;-;-;-;-;;['A_maxillary_R_74'];['A_facial_R_57']
A_inferior_alveolar_mental_branch_R_101;116;56;1.19313123318;0.05235;0.05235;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_R_85'];['A_submental_mental_branch_R_30', 'A_inferior_alveolar_mental_branch_R_102']
A_inferior_alveolar_mental_branch_R_102;56;126;1.14230801841;0.05235;0.05235;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_mental_branch_R_101'];['A_inferior_alveolar_mental_branch_R_103', 'T_perforator_UAR06_T1_R_190']
A_inferior_alveolar_mental_branch_R_103;126;127;0.83724725746;0.05235;0.05235;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_mental_branch_R_102'];[]
A_posterior_superior_alveolar_R_104;110;32;1.88742404048;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_maxillary_R_76'];['P_posterior_superior_alveolar_dental_branch_1_ORG08_T17_R_17', 'A_posterior_superior_alveolar_R_105']
A_posterior_superior_alveolar_R_105;32;34;0.422798568343;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_104'];['P_posterior_superior_alveolar_dental_branch_2_ORG08_T18_R_18', 'A_posterior_superior_alveolar_R_106']
A_posterior_superior_alveolar_R_106;34;36;0.770960603362;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_105'];['P_posterior_superior_alveolar_dental_branch_3_ORG08_T19_R_19', 'A_posterior_superior_alveolar_R_107']
A_posterior_superior_alveolar_R_107;36;128;0.251333147337;0.059368;0.059368;1;9;-1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_106'];['A_posterior_superior_alveolar_R_108']
A_posterior_superior_alveolar_R_108;128;38;0.399357965103;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_107', 'A_middle_superior_alveolar_R_115'];['P_posterior_superior_alveolar_dental_branch_4_ORG08_T20_R_20', 'A_posterior_superior_alveolar_R_109']
A_posterior_superior_alveolar_R_109;38;40;0.670707373243;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_108'];['P_posterior_superior_alveolar_dental_branch_5_ORG08_T21_R_21', 'A_posterior_superior_alveolar_R_110']
A_posterior_superior_alveolar_R_110;40;129;0.219998067693;0.059368;0.059368;1;9;-1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_109'];['A_posterior_superior_alveolar_R_111']
A_posterior_superior_alveolar_R_111;129;42;0.279077573392;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_110', 'A_anterior_superior_alveolar_R_116'];['P_posterior_superior_alveolar_dental_branch_6_ORG08_T22_R_22', 'A_posterior_superior_alveolar_R_112']
A_posterior_superior_alveolar_R_112;42;44;0.711127279455;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_111'];['P_posterior_superior_alveolar_dental_branch_7_ORG08_T23_R_23', 'A_posterior_superior_alveolar_R_113']
A_posterior_superior_alveolar_R_113;44;46;0.534874752145;0.059368;0.059368;1;9;1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_112'];['P_posterior_superior_alveolar_dental_branch_8_ORG08_T24_R_24', 'A_posterior_superior_alveolar_R_114']
A_posterior_superior_alveolar_R_114;46;130;0.37848322184;0.059368;0.059368;1;9;-1;-;-;-;-;-;;['A_posterior_superior_alveolar_R_113'];[]
A_middle_superior_alveolar_R_115;122;128;1.82893221614;0.044254;0.044254;1;9;-1;-;-;-;-;-;;['A_infra_orbital_R_95'];['A_posterior_superior_alveolar_R_108']
A_anterior_superior_alveolar_R_116;121;129;1.89323318357;0.044254;0.044254;1;9;-1;-;-;-;-;-;;['A_infra_orbital_R_94'];['A_posterior_superior_alveolar_R_111']
T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_117;131;50;0.737563912564;0.067645;0.067645;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_posterior_septal_branche_one_R_121', 'A_sphenopalatine_R_125'];['T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_26', 'T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_118']
T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_118;50;132;2.12387537803;0.067645;0.067645;1;9;-1;8625251220.35724;8.364e-12;40;11;-;;['T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_117'];[]
A_sphenopalatine_posterior_septal_branche_one_R_119;133;54;2.92878669701;0.048097;0.048097;1;9;-1;-;-;-;-;-;;['A_nasopalatine_R_122'];['T_sphenopalatine_posterior_septal_branche_two_ORG06_T9_R_29', 'A_sphenopalatine_posterior_septal_branche_one_R_120']
A_sphenopalatine_posterior_septal_branche_one_R_120;54;52;0.343546505977;0.048097;0.048097;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_posterior_septal_branche_one_R_119'];['T_sphenopalatine_posterior_septal_branche_three_ORG06_T10_R_28', 'A_sphenopalatine_posterior_septal_branche_one_R_121']
A_sphenopalatine_posterior_septal_branche_one_R_121;52;131;0.688252583025;0.048097;0.048097;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_posterior_septal_branche_one_R_120'];['T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_117']
A_nasopalatine_R_122;74;133;1.53845841158;0.048097;0.048097;1;9;-1;-;-;-;-;-;;['A_greater_palatine_R_40'];['A_sphenopalatine_posterior_septal_branche_one_R_119']
A_sphenopalatine_R_123;111;72;1.44499761214;0.088941;0.088941;1;9;-1;-;-;-;-;-;;['A_maxillary_R_77', 'A_infra_orbital_R_96'];['A_descending_palatine_R_38', 'A_sphenopalatine_R_124']
A_sphenopalatine_R_124;72;123;0.384891906157;0.088941;0.088941;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_R_123'];['A_artery_of_pterygoid_canal_R_97', 'A_sphenopalatine_R_125']
A_sphenopalatine_R_125;123;131;0.415631069129;0.088941;0.088941;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_R_124'];['T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_117']
A_lingual_R_126;81;134;1.67919413743;0.095069;0.095069;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_45'];['A_lingual_R_127', 'A_suprahyoideo_R_741']
A_lingual_R_127;134;135;1.76769800624;0.095069;0.095069;1;9;-1;-;-;-;-;-;;['A_lingual_R_126'];['A_lingual_R_128', 'T_dorsal_lingual_branch_one_ORG07_T5_R_132']
